BioSample,LibraryName,refGenome,Run,Organism,BioProject
SAMN12253975,SAMN12253975,GCA_013398315.1,SRR9853648,Nothoprocta pentlandii,PRJNA545868
SAMN12253975,SAMN12253975,GCA_013398315.1,SRR9853768,Nothoprocta pentlandii,PRJNA545868
SAMN12253975,SAMN12253975,GCA_013398315.1,SRR9853769,Nothoprocta pentlandii,PRJNA545868
SAMN12253975,SAMN12253975,GCA_013398315.1,SRR9853770,Nothoprocta pentlandii,PRJNA545868
SAMN12253975,SAMN12253975,GCA_013398315.1,SRR9853771,Nothoprocta pentlandii,PRJNA545868
SAMN12253975,SAMN12253975,GCA_013398315.1,SRR9853772,Nothoprocta pentlandii,PRJNA545868
SAMN12253975,SAMN12253975,GCA_013398315.1,SRR9853773,Nothoprocta pentlandii,PRJNA545868
SAMN12253975,SAMN12253975,GCA_013398315.1,SRR9853774,Nothoprocta pentlandii,PRJNA545868
SAMN12253975,SAMN12253975,GCA_013398315.1,SRR9853775,Nothoprocta pentlandii,PRJNA545868
SAMN12253975,SAMN12253975,GCA_013398315.1,SRR9853776,Nothoprocta pentlandii,PRJNA545868
SAMN12253975,SAMN12253975,GCA_013398315.1,SRR9853777,Nothoprocta pentlandii,PRJNA545868
SAMN12253975,SAMN12253975,GCA_013398315.1,SRR9853839,Nothoprocta pentlandii,PRJNA545868
SAMN12253975,SAMN12253975,GCA_013398315.1,SRR9853840,Nothoprocta pentlandii,PRJNA545868
SAMN12253975,SAMN12253975,GCA_013398315.1,SRR9853841,Nothoprocta pentlandii,PRJNA545868
SAMN12253975,SAMN12253975,GCA_013398315.1,SRR9853842,Nothoprocta pentlandii,PRJNA545868
SAMN12253975,SAMN12253975,GCA_013398315.1,SRR9853843,Nothoprocta pentlandii,PRJNA545868
SAMN12253975,SAMN12253975,GCA_013398315.1,SRR9853844,Nothoprocta pentlandii,PRJNA545868
SAMN12253975,SAMN12253975,GCA_013398315.1,SRR9853846,Nothoprocta pentlandii,PRJNA545868
